Datatype,Source,Product,Valuetype,Year,Value
Live Animals,Afghanistan,Chickens,Stocks (1000 Head),2012,13212.0
Live Animals,Albania,Chickens,Stocks (1000 Head),2012,5937.75
Live Animals,Algeria,Chickens,Stocks (1000 Head),2012,128500.0
Live Animals,American Samoa,Chickens,Stocks (1000 Head),2012,40.0
Live Animals,Angola,Chickens,Stocks (1000 Head),2012,23314.0
Live Animals,Antigua and Barbuda,Chickens,Stocks (1000 Head),2012,150.0
Live Animals,Argentina,Chickens,Stocks (1000 Head),2012,105000.0
Live Animals,Armenia,Chickens,Stocks (1000 Head),2012,3800.0
Live Animals,Australia,Chickens,Stocks (1000 Head),2012,100996.0
Live Animals,Austria,Chickens,Stocks (1000 Head),2012,16250.0
Live Animals,Azerbaijan,Chickens,Stocks (1000 Head),2012,24581.0
Live Animals,Bahamas,Chickens,Stocks (1000 Head),2012,3000.0
Live Animals,Bahrain,Chickens,Stocks (1000 Head),2012,550.0
Live Animals,Bangladesh,Chickens,Stocks (1000 Head),2012,240000.0
Live Animals,Barbados,Chickens,Stocks (1000 Head),2012,3600.0
Live Animals,Belarus,Chickens,Stocks (1000 Head),2012,37300.0
Live Animals,Belgium,Chickens,Stocks (1000 Head),2012,35618.0
Live Animals,Belize,Chickens,Stocks (1000 Head),2012,1550.0
Live Animals,Benin,Chickens,Stocks (1000 Head),2012,17634.0
Live Animals,Bermuda,Chickens,Stocks (1000 Head),2012,50.0
Live Animals,Bhutan,Chickens,Stocks (1000 Head),2012,434.58
Live Animals,Bolivia (Plurinational State of),Chickens,Stocks (1000 Head),2012,195000.0
Live Animals,Bosnia and Herzegovina,Chickens,Stocks (1000 Head),2012,19401.0
Live Animals,Botswana,Chickens,Stocks (1000 Head),2012,5500.0
Live Animals,Brazil,Chickens,Stocks (1000 Head),2012,1245269.0
Live Animals,Brunei Darussalam,Chickens,Stocks (1000 Head),2012,15500.0
Live Animals,Bulgaria,Chickens,Stocks (1000 Head),2012,13150.0
Live Animals,Burkina Faso,Chickens,Stocks (1000 Head),2012,42000.0
Live Animals,Burundi,Chickens,Stocks (1000 Head),2012,2835.0
Live Animals,Cabo Verde,Chickens,Stocks (1000 Head),2012,750.0
Live Animals,Cambodia,Chickens,Stocks (1000 Head),2012,14447.0
Live Animals,Cameroon,Chickens,Stocks (1000 Head),2012,47000.0
Live Animals,Canada,Chickens,Stocks (1000 Head),2012,166000.0
Live Animals,Cayman Islands,Chickens,Stocks (1000 Head),2012,6.0
Live Animals,Central African Republic,Chickens,Stocks (1000 Head),2012,6700.0
Live Animals,Chad,Chickens,Stocks (1000 Head),2012,5680.0
Live Animals,Chile,Chickens,Stocks (1000 Head),2012,48000.0
Live Animals,China,Chickens,Stocks (1000 Head),2012,5398000.0
Live Animals,"China, Hong Kong SAR",Chickens,Stocks (1000 Head),2012,1300.0
Live Animals,"China, Macao SAR",Chickens,Stocks (1000 Head),2012,700.0
Live Animals,"China, mainland",Chickens,Stocks (1000 Head),2012,5300000.0
Live Animals,"China, Taiwan Province of",Chickens,Stocks (1000 Head),2012,96000.0
Live Animals,Colombia,Chickens,Stocks (1000 Head),2012,160000.0
Live Animals,Comoros,Chickens,Stocks (1000 Head),2012,520.0
Live Animals,Congo,Chickens,Stocks (1000 Head),2012,2780.0
Live Animals,Cook Islands,Chickens,Stocks (1000 Head),2012,20.0
Live Animals,Costa Rica,Chickens,Stocks (1000 Head),2012,23600.0
Live Animals,C̫te d'Ivoire,Chickens,Stocks (1000 Head),2012,43856.0
Live Animals,Croatia,Chickens,Stocks (1000 Head),2012,4415.0
Live Animals,Cuba,Chickens,Stocks (1000 Head),2012,30182.0
Live Animals,Cyprus,Chickens,Stocks (1000 Head),2012,3103.0
Live Animals,Czech Republic,Chickens,Stocks (1000 Head),2012,20107.0
Live Animals,Democratic People's Republic of Korea,Chickens,Stocks (1000 Head),2012,18000.0
